,id,name,num_parts,images,description,tags,created_at,updated_at,theme_id,user_id,review_count,like_count
0,1,Gears,43,https://cdn.rebrickable.com/media/sets/001-1/11530.jpg,,,2020-05-25 06:02:28.449116+00:00,2020-05-25 06:02:28.449116+00:00,1,,0,0
1,2,Town Mini-Figures,12,https://cdn.rebrickable.com/media/sets/0011-2/3318.jpg,,,2020-05-25 06:02:28.449116+00:00,2020-05-25 06:02:28.449116+00:00,84,,0,0
2,3,Castle 2 for 1 Bonus Offer,0,https://cdn.rebrickable.com/media/sets/0011-3/2729.jpg,,,2020-05-25 06:02:28.449116+00:00,2020-05-25 06:02:28.449116+00:00,199,,0,0
3,4,Space Mini-Figures,12,https://cdn.rebrickable.com/media/sets/0012-1/1831.jpg,,,2020-05-25 06:02:28.449116+00:00,2020-05-25 06:02:28.449116+00:00,143,,0,0
4,5,Space Mini-Figures,12,https://cdn.rebrickable.com/media/sets/0013-1/1988.jpg,,,2020-05-25 06:02:28.449116+00:00,2020-05-25 06:02:28.449116+00:00,143,,0,0
5,6,Space Mini-Figures,12,https://cdn.rebrickable.com/media/sets/0014-1/2003.jpg,,,2020-05-25 06:02:28.449116+00:00,2020-05-25 06:02:28.449116+00:00,143,,0,0
6,7,Space Mini-Figures,18,https://cdn.rebrickable.com/media/sets/0015-1/13050.jpg,,,2020-05-25 06:02:28.449116+00:00,2020-05-25 06:02:28.449116+00:00,143,,0,0
7,8,Castle Mini Figures,15,https://cdn.rebrickable.com/media/sets/0016-1/9284.jpg,,,2020-05-25 06:02:28.449116+00:00,2020-05-25 06:02:28.449116+00:00,186,,0,0
8,9,4.5V Samsonite Gears Motor Set,3,https://cdn.rebrickable.com/media/sets/002-1/3643.jpg,,,2020-05-25 06:02:28.449116+00:00,2020-05-25 06:02:28.450127+00:00,1,,0,0
9,10,Master Mechanic Set,403,https://cdn.rebrickable.com/media/sets/003-1/3651.jpg,,,2020-05-25 06:02:28.450127+00:00,2020-05-25 06:02:28.450127+00:00,366,,0,0
10,11,Basic Building Set in Cardboard,35,https://cdn.rebrickable.com/media/sets/005-1/3359.jpg,,,2020-05-25 06:02:28.450127+00:00,2020-05-25 06:02:28.450127+00:00,366,,0,0
11,12,Discovery Set,0,https://cdn.rebrickable.com/media/sets/005-2/3983.jpg,,,2020-05-25 06:02:28.450127+00:00,2020-05-25 06:02:28.450127+00:00,366,,0,0
12,13,Special Offer,0,https://cdn.rebrickable.com/media/sets/00-6/7158.jpg,,,2020-05-25 06:02:28.450127+00:00,2020-05-25 06:02:28.450127+00:00,67,,0,0
13,14,Basic Building Set in Cardboard,57,https://cdn.rebrickable.com/media/sets/010-1/11511.jpg,,,2020-05-25 06:02:28.450127+00:00,2020-05-25 06:02:28.450127+00:00,366,,0,0
14,15,Basic Building Set,77,https://cdn.rebrickable.com/media/sets/010-3/7168.jpg,,,2020-05-25 06:02:28.450127+00:00,2020-05-25 06:02:28.450127+00:00,366,,0,0
15,16,Basic Building Set,145,https://cdn.rebrickable.com/media/sets/011-1/1220.jpg,,,2020-05-25 06:02:28.450127+00:00,2020-05-25 06:02:28.450127+00:00,366,,0,0
16,17,Wheel Set,183,https://cdn.rebrickable.com/media/sets/021-1/4000.jpg,,,2020-05-25 06:02:28.450127+00:00,2020-05-25 06:02:28.450127+00:00,366,,0,0
17,18,Basic Building Set,110,https://cdn.rebrickable.com/media/sets/022-1/3389.jpg,,,2020-05-25 06:02:28.450127+00:00,2020-05-25 06:02:28.450127+00:00,366,,0,0
18,19,DC Super Heroes: Character Encyclopedia,7,https://cdn.rebrickable.com/media/sets/0241199312-1/14259.jpg,,,2020-05-25 06:02:28.450127+00:00,2020-05-25 06:02:28.450127+00:00,497,,0,0
19,20,Star Wars Build Your Own Adventure: Galactic Missions,0,https://cdn.rebrickable.com/media/sets/0241357594-1/13714.jpg,,,2020-05-25 06:02:28.450127+00:00,2020-05-25 06:02:28.450127+00:00,497,,0,0
20,21,Amazing Vehicles,26,https://cdn.rebrickable.com/media/sets/0241363500-1/13177.jpg,,,2020-05-25 06:02:28.450127+00:00,2020-05-25 06:02:28.450127+00:00,497,,0,0
21,22,"NINJAGO Visual Dictionary, New Edition",5,https://cdn.rebrickable.com/media/sets/0241363764-1/16654.jpg,,,2020-05-25 06:02:28.450127+00:00,2020-05-25 06:02:28.450127+00:00,497,,0,0
22,23,Nursery Furniture,7,https://cdn.rebrickable.com/media/sets/028-1/4990.jpg,,,2020-05-25 06:02:28.450127+00:00,2020-05-25 06:02:28.450127+00:00,652,,0,0
23,24,Building Set,29,,,,2020-05-25 06:02:28.451110+00:00,2020-05-25 06:02:28.451110+00:00,505,,0,0
24,25,The Race to Build It Board Game,72,https://cdn.rebrickable.com/media/sets/03093-1/14119.jpg,,,2020-05-25 06:02:28.451110+00:00,2020-05-25 06:02:28.451110+00:00,502,,0,0
25,26,Living Room,14,https://cdn.rebrickable.com/media/sets/032-1/1292.jpg,,,2020-05-25 06:02:28.451110+00:00,2020-05-25 06:02:28.451110+00:00,652,,0,0
26,27,Farm Animals,21,https://cdn.rebrickable.com/media/sets/033-1/9845.jpg,,,2020-05-25 06:02:28.451110+00:00,2020-05-25 06:02:28.451110+00:00,632,,0,0
27,28,Basic Building Set,177,https://cdn.rebrickable.com/media/sets/033-2/3393.jpg,,,2020-05-25 06:02:28.451110+00:00,2020-05-25 06:02:28.451110+00:00,366,,0,0
28,29,Pre-School Beginners Set,24,https://cdn.rebrickable.com/media/sets/041-1/4097.jpg,,,2020-05-25 06:02:28.451110+00:00,2020-05-25 06:02:28.451110+00:00,440,,0,0
29,30,Playhouse,1,https://cdn.rebrickable.com/media/sets/041-2/14741.jpg,,,2020-05-25 06:02:28.451110+00:00,2020-05-25 06:02:28.451110+00:00,652,,0,0
30,31,Jumbo Brick Pull Toy,9,https://cdn.rebrickable.com/media/sets/042-1/4102.jpg,,,2020-05-25 06:02:28.451110+00:00,2020-05-25 06:02:28.451110+00:00,440,,0,0
31,32,Basic Building Set,225,https://cdn.rebrickable.com/media/sets/044-1/1232.jpg,,,2020-05-25 06:02:28.451110+00:00,2020-05-25 06:02:28.451110+00:00,366,,0,0
32,33,Jumbo Bricks,30,https://cdn.rebrickable.com/media/sets/044-2/17463.jpg,,,2020-05-25 06:02:28.451110+00:00,2020-05-25 06:02:28.451110+00:00,440,,0,0
