,id,password,last_login,is_superuser,username,first_name,last_name,email,is_staff,is_active,date_joined,nickname,image,comment,age,gender,review_count,categories
0,32,,,False,testtest0,,,,False,True,2020-05-26 02:26:27.295679+00:00,testtest0,,,40,0,5,
1,33,,,False,testtest1,,,,False,True,2020-05-26 02:26:27.313902+00:00,testtest1,,,40,0,12,
2,34,,,False,testtest2,,,,False,True,2020-05-26 02:26:27.320089+00:00,testtest2,,,40,0,11,
3,35,,,False,testtest3,,,,False,True,2020-05-26 02:26:27.325829+00:00,testtest3,,,20,0,7,
4,36,,,False,testtest4,,,,False,True,2020-05-26 02:26:27.331816+00:00,testtest4,,,45,0,4,
5,37,,,False,testtest5,,,,False,True,2020-05-26 02:26:27.337798+00:00,testtest5,,,40,0,4,
6,38,,,False,testtest6,,,,False,True,2020-05-26 02:26:27.343783+00:00,testtest6,,,40,0,8,
7,39,,,False,testtest7,,,,False,True,2020-05-26 02:26:27.348844+00:00,testtest7,,,40,0,4,
8,40,,,False,testtest8,,,,False,True,2020-05-26 02:26:27.354940+00:00,testtest8,,,48,0,5,
9,41,,,False,testtest9,,,,False,True,2020-05-26 02:26:27.360770+00:00,testtest9,,,48,0,3,
10,42,,,False,testtest10,,,,False,True,2020-05-26 02:26:27.367016+00:00,testtest10,,,40,0,9,
11,43,,,False,testtest11,,,,False,True,2020-05-26 02:26:27.372835+00:00,testtest11,,,24,0,9,
12,44,,,False,testtest12,,,,False,True,2020-05-26 02:26:27.378975+00:00,testtest12,,,40,0,1,
13,45,,,False,testtest13,,,,False,True,2020-05-26 02:26:27.384812+00:00,testtest13,,,40,0,8,
14,46,,,False,testtest14,,,,False,True,2020-05-26 02:26:27.389858+00:00,testtest14,,,40,0,6,
15,47,,,False,testtest15,,,,False,True,2020-05-26 02:26:27.394787+00:00,testtest15,,,22,0,8,
16,48,,,False,testtest16,,,,False,True,2020-05-26 02:26:27.399774+00:00,testtest16,,,43,0,3,
17,49,,,False,testtest17,,,,False,True,2020-05-26 02:26:27.405758+00:00,testtest17,,,40,0,6,
18,50,,,False,testtest18,,,,False,True,2020-05-26 02:26:27.411742+00:00,testtest18,,,40,0,7,
19,51,,,False,testtest19,,,,False,True,2020-05-26 02:26:27.417775+00:00,testtest19,,,40,0,7,
20,52,,,False,testtest20,,,,False,True,2020-05-26 02:26:27.423710+00:00,testtest20,,,47,0,4,
21,53,,,False,testtest21,,,,False,True,2020-05-26 02:26:27.428697+00:00,testtest21,,,40,0,7,
22,54,,,False,testtest22,,,,False,True,2020-05-26 02:26:27.434994+00:00,testtest22,,,25,0,8,
23,55,,,False,testtest23,,,,False,True,2020-05-26 02:26:27.440970+00:00,testtest23,,,37,0,11,
24,56,,,False,testtest24,,,,False,True,2020-05-26 02:26:27.445928+00:00,testtest24,,,40,0,8,
25,57,,,False,testtest25,,,,False,True,2020-05-26 02:26:27.451987+00:00,testtest25,,,34,0,1,
